raw_type,mapped_type
!,operator
!=,operator
"""",punct
#define,keyword
#include,keyword
%,operator
&,operator
&&,operator
(,punct
),punct
*,operator
+,operator
++,operator
+=,operator
",",punct
-,operator
->,operator
.,punct
...,punct
/,operator
:,punct
;,punct
<,operator
<=,operator
=,operator
==,operator
>,operator
>=,operator
?,punct
@,punct
[,punct
],punct
^,operator
NULL,literal
abstract,keyword
assert,keyword
binary_integer_literal,literal
block_comment,to_drop
boolean,keyword
boolean_type,keyword
break,keyword
byte,keyword
case,keyword
catch,keyword
char,keyword
character_literal,literal
class,keyword
comment,to_drop
const,keyword
continue,keyword
decimal_floating_point_literal,literal
decimal_integer_literal,literal
default,keyword
do,keyword
double,keyword
else,keyword
enum,keyword
escape_sequence,literal
exports,keyword
extends,keyword
false,keyword
field_identifier,name
final,keyword
finally,keyword
float,keyword
for,keyword
hex_integer_literal,literal
identifier,name
if,keyword
implements,keyword
import,keyword
instanceof,keyword
int,keyword
interface,keyword
line_comment,to_drop
long,keyword
method_invocation,name
module,keyword
native,keyword
new,keyword
null,keyword
null,literal
number_literal,literal
octal_integer_literal,literal
open,keyword
opens,keyword
package,keyword
preproc_arg,literal
primitive_type,keyword
private,keyword
protected,keyword
provides,keyword
public,keyword
requires,keyword
return,keyword
short,keyword
sizeof,keyword
static,keyword
strictfp,keyword
string_content,literal
string_literal,literal
struct,keyword
super,keyword
switch,keyword
synchronized,keyword
system_lib_string,literal
text_block,literal
this,keyword
throw,keyword
throws,keyword
to,keyword
transient,keyword
transitive,keyword
true,keyword
try,keyword
typedef,keyword
type_identifier,name
uses,keyword
void,keyword
void_type,keyword
volatile,keyword
while,keyword
with,keyword
{,punct
|,operator
},punct
~,operator
